sentences,labels
Shareholders welcome Marriott-Starwood deal,2
peachy prospects,2
"Another Sell Rating, Sell Rating",0
Nice day rally!,2
Nice day rally!,2
Quality Stocks With High Cash Returns,2
LED light bulb prices rise in Japan,2
Closed Buy,2
highest down volume in last 10 days,0
With $IBB back over support,2
"long into earnings, looks good over 600",2
"considering Yahoo bid, up 2,05%",2
"After weeks of steady gains,advances in mkt breadth slowe",0
I will buy aggressively if pulls back,2
Nice day rally!,2
gets 26 patents and goes down,0
Buying on Weakness,2
LED light bulb prices rise in Japan,2
"is a later riser,, Positive catalyst?",2
Could that have been a strategy to exit shorts before the big pop?,2
Piper upgrades Symantec on improving renewal rates and enterprise growth,2
Look for strong solar rebound today!,2
I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,0
red $AAPL dragging down $QQQ,0
cuts outlook down,0
weakness continues again.,0
Watchlist Top Stocks,2
Long,2
joint bid for Yahoo's internet assets,2
patience pays off,2
"Bad governance, not confident in core biz",0
Bottom Losses,0
"sales numbers still holding up so well, igh end might not be a concern after all.",2
I just feel the people who are buying are the same ones with their finger on the sell button,0
gap filled,2
debt crisis entered a dangerous new phase,0
"just about to break out to new highs, lots of technicals looking great right now",2
next resist is 64.40's,2
,1
looks really toppy right here.,0
this will pop after the holiday,2
Breakup Will Cost Billions,0
News breaks first and fastest on Twitter $TWTR,2
overbought,0
Continues to consolidate above previous break out area.,2
Good to load up Be confident,2
"Long, look like a 5-10% run awaits",2
Buy Call!,2
companies shld be worried about iCloud,0
$SPY -0.05%,2
but decent supt here-expect some upside,2
Monday sold,0
"Sector has been taking a beating recently, could be positive here, will catch a bid today",2
"At 11x earnings, $AAPL is a steal",2
"Multi Top on $MCD,  chart finally leads to a fall in price, Stability is questioned in the stock but coming weeks will tell",0
"US Adds 321K Jobs In November, Unemployment Rate Remains At , Gold Futures off",2
Why is $FB falling?,0
"calls for nice gains, Still holding, Week made in a morning",2
someone bought lots of calls MON,2
moving up again,2
$EA points to the two Facebook games,2
ready to exit bankruptcy,2
starting to creep up,2
looks like BO coming,2
2m this year would be amazing,2
Moved Upper Bollinger Band,2
$GOGO short,0
EU getting closer to charging Google over Android,0
Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets,2
China winners,2
looks like an ascending channel,2
patience on the buy precedes patience on the sell,1
"Oil To Break Out, Adding Chevron",2
"brand name is to big for it to fail,  I bet they recover or get bought out before the year is over",2
Top #NetPayoutYields,2
Long $AMZN Oct $240 Calls,2
under pressure along with the market,2
patience pays off,2
stock splits are lipstick on a pig!,0
making new highs for the year,2
"held up well after the big gains!, still very undervalued and has major upside",2
wait and see before taking any action,1
Markets Are Still Acting Weak,0
breaking below support,0
sold 20% of our concentrated stake,0
"want to go this morning, it's about time looking at the chart",2
"cracking lower early, $short, #correction",0
$FB & $IBB down,0
"Higher In Afternoon Trade, Buy Point",2
"Oil To Break Out, Adding Chevron",2
added $SSO 64.33,2
$FB $112 Calls .55 entry,2
Is Tiffany's overvalued,0
"$INTC & $AAPL strong, tech leads DOW higher",2
"after crunching #'s, diamond in the rough",2
Biggest gainers today large caps,2
$AAPL a new long IF 110.61 is broke,2
"added to our $GILD position, started a new one in $BWLD",2
Largest Online Gaming Market,2
,0
Bottom Losses,0
stopped out even from yesterdays entry,0
Micron Shares Pounded On Fears Of Loss Of Business From Apple,0
Closed Buy,2
over 225 million new Internet users are being added globally every year,2
"$UVXY broke 10.00 amazing!!!, not the 1st time, won't be the last",2
Long LEAPS,2
"Looks like that support line around 24.90 held, t can close green it could start seeing some pstv momentum,",2
retreats like clockwork,0
,1
its time to sell banks,0
"upgrades to outperform, ifts price target",2
Unusual call buying,2
holding strong,2
Three of my hot stocks today,2
Bulls Are Out,2
patents system,2
Markets Back in Black for 2016,2
The losers buying $TSLA at these levels,0
"adding $expe and $pcln to the mix soon, I already have $CTRP and $trip",2
Today's losers,0
not feel terribly good,0
"$SPY up only 0.6%, Still holding",2
record number of passengers served in 2015,2
"While we think $TNH is a winner, we are ringing the register",2
reiterated 'Outperform' rating,2
airplanes are still flying,2
"$MTD $341 from $325, ",2
bond buying is signaling some bad moves for the market,0
"I see more downside in next two weeks, be careful, -20 dollars drop potential",0
"has just about run its course, needs to find a way to turn around",0
Biggest Market Losers,0
"Loaded up on $bsx yesterday, looking good now, Still think way more upside than downside.",2
Notable gainers among liquid option names this morning,2
Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight,2
"5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY, Brian has a 79% success rate",2
"Santa Rally, blow off top",2
iPhone 6s is still better than Galaxy S7,2
didn't factor in anything other than google and repeated good earnings,2
Facebook is succeeding where Google should have dominated,2
$UCO +4.44%,2
up on day and will continue a surge next week.,2
Facebook stock is now +$72,2
ripe for a squeeze again,0
Biggest Market Losers,0
"with personal story sharing declining, will $FB feeds start to look more like $TWTR",0
"upgrades, stock recuperates",2
"saying this is a peak = fear mongering, Competition's dying, smartphone usage increasing",2
the most trending,2
"who won't pay anymore, REAL risk",0
still they are saying bullish LoL,0
today's bull flag,2
"growth rate of approximately 122.0% to 124.9%., total net revenues to be between $780 mln and $790",2
"lots of nice setups in Energy , liking Whiting more each day $CRZO too",2
"Bad governance, not confident in core biz",0
Airplane And Hospitality Industries Set Their Sights On #Cuba,2
Landed in $EA,2
bought $skf as a hedge,2
"Transports always lead the way, bull flag",2
here is no case here,2
$JOE Getting attention. No.2 on NYSE 100 top buying list,2
Short Setups Looking Nice....Really Nice,0
Highest close since,2
should bring $SPX down into the close.,0
,2
"money flow & stochastic dropping, itting resistance at the 200-day downtrend, Retest 50-day?",0
9% run for this watch list winner,2
have had 2 wks of fund inflows for the first time,2
$GOOG $GOOGL would suck,0
ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares,2
Not every idea $AMZN has is bad.,2
"looks primed, poised to run too",2
Yahoo extends bidding deadline as interest grows,2
good news for domestic automakers,2
mrkt needs to washout,0
"valuation is high, No net cash, fwd growth <10%, high peg, historical high pe & fwd PE",0
"$WFM dropping below $30 again, not enthusing Investors",0
"$HTZ, lower",0
Recall Adds To Reliability Issues,0
I'm out,0
Think I may just start to avoid bios,0
LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers,2
no crying you get out,0
"Trying to break daily trend line!, Big move could happen",2
Went long on this,2
"If bulls lucky enuff to get an upside gap fill, better take it",2
wouldn't call any of these banks h+s quite yet,2
"banks to implode, stress tests failing,  selloff",0
New recommendation from Carl Kirst of BMO Capital Markets,2
near a buy point last week,2
PC shipments drop to lowest level since 2007,0
"Momentum building for breakout trigger, Long setup",2
"consistent gains but small, one of my favorite trade",2
$AAPL cult on stocktwits is actually disgusting,0
"Higher In Afternoon Trade, Buy Point",2
Sector Stocks Leading Today,2
$ADBE flying,2
"Tesla to recall 2,700 Model X SUVs over seat issue",0
Back in,2
"US Adds 321K Jobs In November, Unemployment Rate Remains At , Gold Futures off",2
under pressure along with the market,2
cash & cheap financing is fueling a wave of acquisitions,2
Worst #sentiment for #SP1500 #stocks at market close,0
"gold going parabolic, keep chasing those tops boys",2
I would take profits if you have them,0
never widen your stop to stay in a trade,0
slips alongside shares on NSA leak news,0
Best outperformers ranked,2
$GOOGL is setting up above its 50-day moving average,2
"weakest sector this year, possible false breakout",0
"Tesla is recalling 2,700 Model X cars",0
Unusual Call Activity,2
Wish had my puts bac,0
"see if they maintain 15% yield, should be announcing the monthly divy",2
look at all the shorts running for cover,2
"As with all 3x ETFs, it is subject to decay due to daily rebalancin, so be careful holding",0
Signs of life are emerging :),2
Markets Back in Black for 2016,2
I rather be neutral to bullish rather than bearish,2
Diversifies. Adds International exposure,2
Out $AAPL,0
"capped, this range leads to meltdown",0
long on,2
$GOOGL patents turn signal detector for autonomous cars.,2
moves up a little more today off of cup and handle,2
makes less profit than the sales of $AAPL Watch,0
Comparable Store Sales -4%,0
Making higher highs & higher lows as it consolidates over past several weeks,2
looking to add a gold miner and possibly lower pe tech name into close,2
sold at 139.26 and flat,0
suddenly realizing,0
long,2
$FIT and $SUNE have not changed.,0
"$NUGT fucking beast mode, kicking shirts in the NUGT pouch",2
my hospital reits are slaughtered,0
i want to cry,0
3 Top Japan ETFs To Surge Higher In 2H,2
New bullish conversation activity,2
Bottom Losses,0
"just follow the trend, follow the money flow",2
Short Squeeze Ready To Upside w Crossing Important Technical Level,2
I'll take the other side of that trade,2
I love this stock/Co,0
no choice but to be positve,2
Word on the street is that Allergen is looking at Endo International,2
buy $WYNN,2
"$TSLA hype the news, sell on news",0
"Three black crows followed by a potential bear flag, not looking promising short term",0
"Looking for a strong bounce, Lunchtime rally coming",2
trails $MSFT $ORCL $GOOG $CRM $ADBE,2
"Stay With Best Of Breed, Has Room To Run",2
Nice day rally!,2
orgetting the potential relative value of its users,2
looking goo for 35.80s break out. It must hold 35.40s,2
USIO ops are profitable,0
Bot $GMCR 75 Nov Call,2
Reasons for caution about Chinese stocks,0
outperforms,2
earish Trader bets $550K that Stock Will Sell Off,0
congrats shorts,0
Downbeaten stocks may be ripe for buys,2
"picked some up, like this going into 2014",2
"Worst performers today,  $MGM $IO -6%",0
nt done good with that name so will pass it,0
its been nothing but down,0
Bullish MA Crossovers,2
player onto the 211 puts,0
Someone wants in,2
$pcln back over 'up' trendline,2
Found some good bull setups this week,2
is just humming easing overbought,0
"just follow the trend, follow the money flow",2
is up 19%,2
Sector Stocks Leading Today,2
"Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney",0
"not the prettiest candlesticks, no signs of gap fill yet",1
agree risky watching very closely,0
"breakout from the consolidation zone, bot some @",2
Took Small posistion on $TSLA,0
flop would just get everyone running to the fences.,0
Unusual Call Activity,2
Worst #sentiment for #SP1500 #stocks at market close,0
new squeeze plays,0
"people are calling it bearish, Some heading for exits already",0
"long $SQ, LONG 3300 SQ",2
Fader play here,0
all sectors improved in bullish breadth.,2
top-rated,2
Stochastic Overbought,0
China February Retail Sales: E-Commerce Remains Resilient,2
China February Retail Sales: E-Commerce Remains Resilient,2
Large cap tech is finally trying to catch up with the rest of the market,2
Stock dropping hard...,0
Recall will not impact financial results,2
,2
very weak res,0
"gap up today? , they say the heat is coming",2
top-rated,2
"Coming from far could go far, Stock price implies you pay nothing for the business",2
LNKD is great but doesnt the potential side with Fb,2
Long $ENDP @ $26.23 on $AGN b/o rumor,2
oil back above 60,2
Short Setups Looking Nice....Really Nice,0
gist of downgrades was apple failed to make a phone th,0
"Another 3% gain in $RIGL, following last week's huge call buying in the Apr",2
"$STX, Higher",2
$GRPN having a much better day than $FB,0
stocks insiders are bullish on,2
hipments on track to exceed forecasts,2
LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers,2
cover all,2
SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,0
Most bullish stocks on Twitter during this dip,2
"$FCX 1.9% now, March $36 puts now +8.33%",0
First quarter is amazing,2
"$SAP Q1 disappoints as #software licenses down, Real problem?",0
Today's losers,0
looking for a sharp move up in equities,2
gap fill coming up,2
"Report: Apple signs up for Google's cloud, uses much less of Amazon",0
"$FB TO $107 TOMORROW!?, Show me the $$$",2
over 225 million new Internet users are being added globally every year,2
Covered Call,2
"Long, buying point",2
I've been picking up railroad stocks for the retirement acct,2
when there is turmoil in the MENA region shippers perform,2
"Going back in, but slowly",2
down 12% since I alerted it a short sell on 3-25,0
Bet the farm on,2
Interest Heats Up for @Yahoo $YHOO,2
"the parties over, volatility is back",0
Stocks Higher In Afternoon Trade,2
Highest call to put ratio,2
"Apparently Intel thinks women should get paid the same as men, $INTC Gender Pay Parity at 100%",2
$GS is looking weak while this market is moving higher not a good sign,0
1Mil Buy order at,2
top stocks,2
Top Stocks in 2015 are Ready to Lead Again in 2016,2
"640m globally this week on avengers really sick ,Stan lee is a beast",2
"plus its Irish based,  getting rid of its generic biz",2
In,2
13F Shows New Stakes in ,2
"gap up today? , they say the heat is coming",2
Breakout watch,2
Short Setups Looking Nice....Really Nice,0
getting a lot of hype,2
Court tells states to leave $GOOG alone,2
Got a nice push today,2
"Unloaded $16,673 Worth of The Ensign Group, Inc. (NASDAQ:ENSG) Shares",0
$23 by the end of the week..did you snatch ur 21,2
continues its rally,2
it With Lawsuit from Russian Search Engine,0
#oversold,2
have had 2 wks of fund inflows for the first time,2
MU down 2.3% today and down 8.9%,0
Unusual call buying,2
$KO:US #COCA-COLA CO 19Oct Positive,2
"Sales weak, margins down, debt still way up",0
"just broke resistance, #redtogreen, #breakout, right out of the gate tomorrow morning",2
$FFIV up 7$,2
bot $CHRW,2
"Break-out thru 50 & 200- DMA, Short squeeze in progress",2
"now up 2.2%, Still holding",2
Bid for Reargument Denied by Judge,0
with upcoming first support in a few days or weeks!,2
$CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26%,2
lots of green on the 5 min,2
looking to buy,2
I don't think is the right fit,0
"stochastics finally starting to turn up, Buying here",2
Another Sell Rating,0
Very nice breakout on a very nice stock,2
"launching shopping bot, catalyst2016, #catalyst2016",2
Buy these 3 stocks while there's blood in the streets,2
Goldman Sachs reiterates conviction buy on,2
"losers, no profit, so sad",0
Long term uptrend intract so far,2
the most trending,2
,1
Will be adding on dips,2
Added long at friday close,2
losing $400M of $AAPL's business,0
#oversold,2
Picking up a couple shares of $GOOG today,2
My broker has no shorts who has them?,0
"sales numbers still holding up so well, igh end might not be a concern after all.",2
trying to drag $bidu with it.,0
over 225 million new Internet users are being added globally every year,2
"downgraded to neutral at Deutsche Bank, Price target reduced",0
Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,2
"buy zone today, take swing trade profits",2
"big picture is BRILLIANT, Boy-wonder visionary Zuck!",2
"bounce right now has no vol, more vol when it slid",2
another story stock with an unhappy ending,0
"Love it, #bullish",2
Most bullish stocks on Twitter during this dip,2
Mark Zuckerberg is doing an amazing job,2
today's top gainers,2
"has had a history of a lack of PR, shame for investors",0
closed Friday with the RS line in new highs,2
look out belooooooowwww,0
whole Semiconductor space looks interesting,2
To Combine In $37 Billion Deal,2
peaks above HOD,2
"Problem for shorts, every fund out there will want to buy this thing on a a pullback",2
awesomely bullish stocks,2
There is a good base building,2
Biggest Market Losers,0
Highest call to put ratio,2
SOLD to close $QQQ puts for +34%,0
ooks pretty bullish for now,2
"looks really interesting on drop, grabbed some options and stock, enough tme before earnings to grow the stock, growth all sectors",2
covered some shorts,2
Add to,2
triple top forming.,2
will end up selling for pennies on the dollar,0
"looking sexy this morning, break on volume",2
Whole Foods shareholders vote down activist initiatives,0
Imagine $AAPL TV impact!! $$$,2
Southwest Is at Its Lowest Multiple Ever,2
Still too early for an entry,0
Moved Upper Bollinger Band,2
Today I bought more,2
won't have anyone buying products,0
Short Setups Looking Nice....Really Nice,0
still long term fan!,2
What a nice reversal.,2
TripAdvisor jumps on M&A rumors,2
"$TSLA Recalls 2,700 Model X Vehicle, Shares Volatile",0
"Long tech, calls",2
"Breakout Should be Confirmed, Upturn",2
Best performers,2
very tight on the avail stock for shorting,0
get into $WFM and $MJN,2
Stochastic Overbought,0
Bounced off target buy area,0
oversold,2
double top reject,0
"Added., Bounce off of, for ride to",2
working on Cuba deals,2
Dividend Hike Green Light,2
I am excited about all these plays,2
commodity weakness,0
$fb small flong 109.25 via calls,2
had a nice breakout of the recent consolidation,2
sells flat..I am out..,0
Airplane And Hospitality Industries Set Their Sights On #Cuba,2
reserves are in decline,2
this pull back of,0
Pie In The Sky,2
First quarter is amazing,2
$TFM will have a way to go price wise to compete with Kroger. $KR,2
Sector Stocks Leading Today,2
biggest St50 gainers,2
Bears Take a Clear Near Term Advantage,0
Will A Onetime Zombie Stock Rise Again?,2
today's bull flag,2
iPhone SE Could Be Doing Better Than Expected,2
Now up to 200 stocks making new 52 week highs,2
Would short $AMZN on any rally,0
after losing about $1 billion on $VRX?,0
$CAT +5.10%,2
"The Top 10 brands for #millennials - $AAPL is #1, and $FB is way off the list at #65.",2
looking tasty,2
Sell Short Position on,2
Nice day rally!,2
damn me and low priced stocks,0
Spy the bubble is in stock buy backs,0
"SELL signal by $NDX internals, technical SELL",0
Bullshit,0
$X +2.27%,2
this is what you get,0
"Another one to add, already happily holding",2
RSI is down at 20,2
$BABA is going to be an interesting one,2
,2
Buy the dip',2
"There's no reason why $GOOGL can't get back to $1,000",2
short,0
Equity indexes working on a positive engulfing for March,2
Highest call to put ratio,2
"Oil slid to a four-year low after, #OPEC kept its oil production unchange",0
sideways,1
Unusual Call Activity,2
"green, lol... make-up to cover ugliness",2
"slight green, May be runner later",2
Pivotal sees 27% upside for Alphabet,2
"refuse, worst decisions ever",0
"profitable hard and software, product innovator",2
$MSFT is opening up its #XboxLive online service,2
here we gooo,2
sold my 81 calls,0
"at resistance right here, sold my shares",0
Holding,2
Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight,2
stocks at support w/ high trade quality,2
finally broke free from big brother's shadow?,2
"I like this Ascending Triangle, Breakout coming Monday, Looks promising",2
I'd be short $fast,0
In Play Longs,2
the most trending,2
Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets,2
out of $KRE,0
"time to accumulate for a long position, far more upside than downside",2
No edge offered,2
"Oil To Break Out, Adding Chevron",2
Found some good bull setups this week,2
Sets Up for Breakout,2
Something big is gonna happen here,1
winning pick this week,2
"calls, popping 5%, Stock +1%",2
Double bottom 5.2,2
lets see one more dip,0
"consistent gains but small, one of my favorite trade",2
"on cusp of a major bollinger breakout on daily, sitting right on its 200 day EMA the force is too strong, squeeze the shorts",2
"hanging tough in down market due to analyst upgrades, Up almost 3%",2
"Coal stocks are poking their head up, very nice weekly candle",2
Still holding,2
"is exceptionally bullish for Romney, the mkt, and the economy.",2
Mid-single digits EBITDA growth,2
"posts 60 percent jump in 4Q profit, steep global sales increase, tops Wall St. view",2
Loving BTU and the coal stocks in here,2
"watching paint dry, low volatility",1
Fundamentally nothing has changed,2
Stares Into the Abyss,0
Smartphone Wars Wound Samsung,2
"where the growth is, not a High P.E. stock",2
long this morning,2
"took my proprietary profit exit, didn't like the option liquidity, ousy spreads",0
$YHOO refuse of $MSFT offer of 45 B is going to go down as one of the worst decisions ever.,2
has gained an average of 0.9% a week for the last nine years,2
eyeing $RA w take-over interest,2
"added to our $GILD position, started a new one in $BWLD",2
Investor long-term stock recommendation,2
EPS growth is around 12% so far,2
easonably priced high growth institutional fave glamour name that is going at least 30% higher,2
Bull Of The Day,2
Let's go up Gilead,2
European Debt once again Keeps Stocks Down,0
"Nice little cup-and-handle shaping up, favours a good day for the index",2
bail out,2
I dumped $PYPL and $PRLB,0
Top #NetPayoutYields,2
"CFO Sees Profitability From, Cash Flow Positive From",2
Price Target Raised,2
So sad to see such a loved company eating dirt.,0
is up 19%,2
have cash to burn.,2
Downbeaten stocks may be ripe for buys,2
Strictly day trading this one long and short off 5 minute,2
Aggressive Buy,2
"Long, favorite covered call, double dip dividend play., touting",2
"close above 28.64, we are ready to rock and roll",2
Will this cold put a dent in the massive horizontal rig production,0
"Long, look like a 5-10% run awaits",2
"Over the TL it can go to 114, below it can go to 90.",1
accumulating more $BSMX on any pullback,2
record number of passengers served in 2015,2
then trail up.,2
Bullshit! All #AppleStores are EMPTY in #China,0
downgrade,0
another strong rail today after breaking intraday resistance,2
Heard Netflix is raising its prices. It's all good it's worth it though,2
yet not that much (price) has changed,2
stocks insiders are bullish on,2
Markets Are Still Acting Weak,0
Top #NetPayoutYields,2
S1 above gap. keeping an eye on S2,2
shorts likely to take profits into close,0
I see no reason to sell yet,0
ripping early,2
Keeping my stops a bit on the tight side,2
"Receives 7-Year, $50M Contract",2
splat! poor Q1 orders,0
"With Oil Prices Down further, Oil Stocks Looking Less Cheap",0
Finding Support,2
,1
,2
$GOOGL patents turn signal detector for autonomous cars.,2
"wants lower, up waves getting smaller",0
add in,2
I see a 20 percent upside in $FB shares from here,2
"great growth stk & also raised dividend, clearly a great investment",2
"$ENDP being sued by FT, nobody will buy them with that hanging over their heads",0
Breaking 52 week highs timing looks great now,2
LargeCap Growth fundholders get lift,2
"progress witnessed, truly stunning",2
trying to drag $bidu with it.,0
60% short interest or not,0
The momo leaders are taken down one by one,0
Stochastic Overbought,0
new squeeze plays,0
Active puts,0
Mulls Sale of $1 Billion Venture Capital Portfolio,2
strong buy within a month,2
Buy these 3 stocks while there's blood in the streets,2
I'm watching(and buy targets),2
$YHOO have lost 50% since Nov 14,0
wouldn't be surprised to see a green close,2
"Failed breakouts & failed setups, Limping on crutches into next week",0
high-flyers have been falling,0
decision to sell robot business exposes growing pains,0
stocks insiders are bullish on,2
Drop expected,0
Upgraded to a buy by Alpha Street Research,2
Worth a chance here,2
"Rally Friday!, #new52weekhighs, p over 31%",2
expects to break even,2
all higher,2
Adobe Receives New Rating from Top Analyst,2
alot to worry about,0
We See More Reasons To Be Cautious,0
huge buy in all these names,2
"$MSFT, higher than I expected",2
but Verizon is still the bidder to beat,2
"Could the pride of social media be gettin ready to fall?, chart rolling over?",0
"gold going parabolic, keep chasing those tops boys",2
"hold through all the media BS and you will be profitable, patience is key",2
Biggest Market Losers,0
"#sectorbreadth Strongest sector is Industrials, 86% bullishness",2
uch a bloated valuation,0
I Love blood like a vampire.....Keep bleeding for me,0
$FB and $IBB still weak,0
Bull Candle,2
$IEF bullish,2
best scenario going forward is this stock slowly falling everyday,0
"plus its Irish based,  getting rid of its generic biz",2
Today's losers,0
If that's what you want then buy some,2
Just sold 2 Apr-22 115 calls,0
Stochastic Overbought,0
Long Position on,2
new HOD,2
LONGS,2
"beat, up AH",2
down 25% since Tue morning.,0
"10% Dividend Increase Rewards Patient Investors, The Future Looks Bright",2
Go Long until exp imo,2
remember when Zuck in 2010 told us he was going to fix email with it?,2
"Bought a little yesterda, hoping for an earnings pop.",2
"long term uptrend, broke 4 year resistance, looks primed for further upside",2
Sets Up for Breakout,2
picked up $CALM,2
"advance, announce licensing agreement",2
gets a patent and goes up .20 today,2
"Don't like, Neither does Wall Street, fell the most",0
GALE stacks up poorly from an insider ownership,0
Nice day rally!,2
#oversold,2
Took a small position,2
Continues to base on the weekly chart,0
amazon just signed a deal to lease 20 Boeing 767 cargo planes,2
Today's losers,0
up $5.80,2
EPS growth is around 12% so far,2
"may not be bad, great stocks to trade, making new highs",2
Top #NetPayoutYields,2
next major platform,2
Dailymail content is perfect for YHOO demographics,2
"investors are nervous about outlook, as they should be.",0
Money flow positive,2
Electronic Arts attracts more investors,2
Biggest Market Losers,0
down 5.43 %,0
Multiple expansion intact as well!,2
Added $REGN at 402,2
PLUNGING! Back to,0
running,2
Add to $FXP $SKF positions,2
get ready for the 560 *flush*,0
It Needs A New Tablet Strategy,0
Taking some profits,0
Down day for all biotechs Good to load up,2
still loving it today,2
Breaking 52 week highs timing looks great now,2
Timberrrr,0
The Best Stocks for 2012,2
double bottom could be in,2
3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating,2
still having some trouble at the resistance line,2
Accumulation chart continues to make new highs showing accumulation continuing to take place,2
Apple hires former Amazon executive George Stathakopoulos as head of corporate data security,2
has been slipping,0
bullish reversal setup and breakout,2
Near HOD,2
Moody's downgrade,0
Markets Back in Black for 2016,2
this one is looking beat up and interesting,0
"$amd is a two dollar spec play, Ur penny scalps cost u w/IRS",0
"SELL signal by $NDX internals, technical SELL",0
starting to creep up,0
invest in elon,2
Still have my position,2
"minuscule 0.09% gain in $ZIV, Lost most of our handsome gains on Friday",0
airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU,2
Receivable going to zero,0
Cisco also lower,0
Bullish MA Crossovers,2
sell $RHT,0
In Play Longs,2
next 5-6 charts illustrate a bullish weekly outcome,2
I would buy some wtsl at these prices,2
more positive comments from $MS,2
volume footprint looks great,0
Drugs and Biotech Getting Perky,2
"wants to ta, CEO says taxes may make co leave",0
companies shld be worried about iCloud,0
negative P&L on hardware,0
eyes more disposals in bid to appease City backers,2
gap fill 53.53 still waiting.,2
long,2
Pie In The Sky,2
"afternoon selloff as usual will be brutal, get ready to lose a ton of money.",0
"Short more , markets will tank now",0
"Has a great cash balance, impressive growth rate",2
"calls for nice gains, Still holding, Week made in a morning",2
Top holdings,2
getting out of his,0
strong 5min @above bollies,2
near a buy point last week,2
Google Will Soon Start Selling Chromebooks At Walmart And Staples,2
broke out now of his bull flag channel and make new highs,2
start strong finish weak,0
Services like $NFLX and #Hulu are growing much faster than cable,2
top stocks,2
Goldman Sachs reiterates conviction buy on,2
$AAPL max pain,0
